divipola,annee,valeur,moran_local,p_simule,classe,municipio,departamento
05440,2002,2.300069671935863,0.0023824866709029413,0.476,Non significatif,Marinilla,Antioquia
05467,2002,5.944930962292679,-0.11210949034907645,0.416,Non significatif,Montebello,Antioquia
05475,2002,5.17517302125453,2.36912069461927,0.001,Haut-Haut,Murindó,Antioquia
05480,2002,4.828311952269236,1.0213448773014786,0.03,Haut-Haut,Mutatá,Antioquia
05483,2002,5.606515598578339,2.8751751079257883,0.001,Haut-Haut,Nariño,Antioquia
05490,2002,3.828893323390475,0.2614583761419796,0.166,Non significatif,Necoclí,Antioquia
05495,2002,3.7859811246098665,0.3543651081425407,0.09,Non significatif,Nechí,Antioquia
05501,2002,3.07792143472258,-0.043546229572812394,0.218,Non significatif,Olaya,Antioquia
05541,2002,4.369924129553088,0.4456660919917152,0.144,Non significatif,Peñol,Antioquia
05543,2002,3.5940963370786316,0.34123059496922603,0.048,Haut-Haut,Peque,Antioquia
05576,2002,2.5346251799188066,0.042586172989935014,0.276,Non significatif,Pueblorrico,Antioquia
05579,2002,2.8226834806874472,-0.0031536788779971815,0.253,Non significatif,Puerto Berrío,Antioquia
05585,2002,3.0402860941711873,0.09256606905189405,0.045,Haut-Haut,Puerto Nare,Antioquia
05591,2002,2.425269827783013,-0.2928433850833455,0.008,Atypique,Puerto Triunfo,Antioquia
05604,2002,3.819424973317581,0.38119892495288293,0.081,Non significatif,Remedios,Antioquia
05607,2002,1.4008551729537038,0.4694595561508049,0.081,Non significatif,Retiro,Antioquia
05615,2002,0.7203520828037202,0.9708001096971598,0.029,Bas-Bas,Rionegro,Antioquia
05628,2002,3.9495932554125353,0.3292560838600502,0.138,Non significatif,Sabanalarga,Antioquia
05631,2002,0.22245031126621317,1.4587497267079867,0.01,Bas-Bas,Sabaneta,Antioquia
05642,2002,3.7150496005439604,-0.05426616527345039,0.384,Non significatif,Salgar,Antioquia
05647,2002,4.070806903346163,0.4035499215759351,0.119,Non significatif,San Andrés de Cuerquía,Antioquia
05649,2002,6.957266339457657,3.098485716809072,0.004,Haut-Haut,San Carlos,Antioquia
05652,2002,6.46259574297765,3.457655240205117,0.001,Haut-Haut,San Francisco,Antioquia
05656,2002,0.6596567959406071,0.5253215863960509,0.15,Non significatif,San Jerónimo,Antioquia
05658,2002,3.0507723760592214,0.05196658858950891,0.182,Non significatif,San José de la Montaña,Antioquia
05659,2002,3.5321885783324856,0.14243801958688973,0.227,Non significatif,San Juan de Urabá,Antioquia
05660,2002,6.743854040678583,4.621791839400402,0.001,Haut-Haut,San Luis,Antioquia
05664,2002,3.1898835835265156,-0.2299181057410372,0.006,Atypique,San Pedro de los Milagros,Antioquia
05665,2002,4.393963489171592,0.5325215914884573,0.111,Non significatif,San Pedro de Urabá,Antioquia
05667,2002,5.656691571277045,1.7369188787931142,0.009,Haut-Haut,San Rafael,Antioquia
05670,2002,2.958331639132247,0.054220741975026604,0.045,Haut-Haut,San Roque,Antioquia
05674,2002,4.317243785872282,0.08119135224471101,0.439,Non significatif,San Vicente Ferrer,Antioquia
05679,2002,3.7854604040406663,0.2120345156061253,0.202,Non significatif,Santa Bárbara,Antioquia
05686,2002,2.1387618131050306,0.1721383499525245,0.143,Non significatif,Santa Rosa de Osos,Antioquia
05690,2002,3.9956199255887928,0.2806275570802468,0.187,Non significatif,Santo Domingo,Antioquia
05697,2002,3.3400189823570874,0.3359891182281587,0.007,Haut-Haut,El Santuario,Antioquia
05736,2002,3.36473924597533,0.21231759998261168,0.071,Non significatif,Segovia,Antioquia
05756,2002,5.252581175639311,2.3938785998285708,0.001,Haut-Haut,Sonsón,Antioquia
05761,2002,1.5522414942590383,0.21281402585019205,0.24,Non significatif,Sopetrán,Antioquia
05789,2002,2.984424838263868,0.00390673122166234,0.48,Non significatif,Támesis,Antioquia
05790,2002,4.6888523179031285,0.5350917803147138,0.147,Non significatif,Tarazá,Antioquia
05792,2002,2.5498642233965256,0.08345275473540521,0.106,Non significatif,Tarso,Antioquia
05809,2002,2.6147805397259636,-0.006669307568537776,0.476,Non significatif,Titiribí,Antioquia
05819,2002,5.054612849883307,0.7427082219207056,0.115,Non significatif,Toledo,Antioquia
05837,2002,3.6717707864463502,0.28906521944123764,0.107,Non significatif,Turbo,Antioquia
05842,2002,4.204857961897326,0.5325044116102289,0.082,Non significatif,Uramita,Antioquia
05847,2002,4.881875206339747,0.8846911380370045,0.058,Non significatif,Urrao,Antioquia
05854,2002,3.383420077740123,0.20780666824145397,0.085,Non significatif,Valdivia,Antioquia
05856,2002,3.3733481474447893,0.0009505217209700578,0.48,Non significatif,Valparaíso,Antioquia
05858,2002,3.832397310994227,0.31613056583611276,0.129,Non significatif,Vegachí,Antioquia
05861,2002,2.8425338506537554,-0.00022133758450244633,0.299,Non significatif,Venecia,Antioquia
05873,2002,6.901004616804203,2.9830039700895346,0.005,Haut-Haut,Vigía del Fuerte,Antioquia
05885,2002,4.645665855810764,0.2721487356599507,0.297,Non significatif,Yalí,Antioquia
05887,2002,2.4916565613182597,-0.18299760218840933,0.027,Atypique,Yarumal,Antioquia
05890,2002,3.8172769931328174,0.16210727638007147,0.275,Non significatif,Yolombó,Antioquia
05893,2002,4.75472391672212,0.774857074539016,0.074,Non significatif,Yondó,Antioquia
05895,2002,4.16766966943657,0.3385517047853089,0.176,Non significatif,Zaragoza,Antioquia
08001,2002,0.33926233094741165,1.9909006082369227,0.001,Bas-Bas,Barranquilla,Atlántico
08078,2002,0.8134548190194594,1.5658315963681029,0.001,Bas-Bas,Baranoa,Atlántico
08137,2002,0.8864923918620723,0.9564207856924168,0.019,Bas-Bas,Campo de la Cruz,Atlántico
08141,2002,0.47832184590252447,1.009941560927774,0.035,Bas-Bas,Candelaria,Atlántico
08296,2002,0.34725692990477564,1.9857838345847239,0.001,Bas-Bas,Galapa,Atlántico
08372,2002,0.12493568792641402,1.3746152246305832,0.015,Bas-Bas,Juan de Acosta,Atlántico
08421,2002,2.4363751530686315,0.06977234420269915,0.233,Non significatif,Luruaco,Atlántico
08433,2002,0.30804914457182025,1.7938758721250012,0.003,Bas-Bas,Malambo,Atlántico
08436,2002,0.3472587045321649,1.1575340913967453,0.021,Bas-Bas,Manatí,Atlántico
08520,2002,0.3598526886766675,1.6850708474336327,0.004,Bas-Bas,Palmar de Varela,Atlántico
08549,2002,2.1324037110881657,0.3435395040492453,0.02,Bas-Bas,Piojó,Atlántico
08558,2002,0.4684241442567265,1.603736549879399,0.004,Bas-Bas,Polonuevo,Atlántico
08560,2002,0.6537215449565188,1.0542086826118886,0.02,Bas-Bas,Ponedera,Atlántico
08573,2002,0.22812902934915802,2.0612014200923747,0.001,Bas-Bas,Puerto Colombia,Atlántico
08606,2002,2.201471747807906,0.08077952284016582,0.29,Non significatif,Repelón,Atlántico
08634,2002,1.7315384925486215,0.8834365437772772,0.001,Bas-Bas,Sabanagrande,Atlántico
08638,2002,0.8169039381258242,1.4708832308152897,0.001,Bas-Bas,Sabanalarga,Atlántico
08675,2002,0.3273272181895217,0.9503884164696347,0.05,Non significatif,Santa Lucía,Atlántico
08685,2002,0.1770932927276307,1.7521752249329283,0.006,Bas-Bas,Santo Tomás,Atlántico
08758,2002,0.14957271207918868,1.1007307927865997,0.041,Bas-Bas,Soledad,Atlántico
08770,2002,0.29782918794263746,-0.005589094634736112,0.485,Non significatif,Suan,Atlántico
08832,2002,0.4396485094229931,1.862008895015367,0.001,Bas-Bas,Tubará,Atlántico
08849,2002,0.28525823656917965,1.5732125596987776,0.007,Bas-Bas,Usiacurí,Atlántico
11001,2002,0.08254828457899001,0.8325955987154012,0.095,Non significatif,"Bogotá, D.C.","Bogotá, D.C."
13001,2002,1.4818185170294902,-0.04940998061106938,0.457,Non significatif,Cartagena de Indias,Bolívar
13006,2002,5.4771519836237434,1.3166447233849863,0.038,Haut-Haut,Achí,Bolívar
13030,2002,4.334887108696289,0.3590903102616318,0.183,Non significatif,Altos del Rosario,Bolívar
13042,2002,5.308490510684168,1.0939957004335739,0.055,Non significatif,Arenal,Bolívar
13052,2002,2.1123057040540907,-0.06407918017015271,0.393,Non significatif,Arjona,Bolívar
13062,2002,3.7392041538408267,-0.24193545406842146,0.122,Non significatif,Arroyohondo,Bolívar
13074,2002,4.320946354172302,0.22218315645315992,0.297,Non significatif,Barranco de Loba,Bolívar
13140,2002,4.36122686279068,-0.46854945114033353,0.093,Non significatif,Calamar,Bolívar
13160,2002,5.245045794884714,1.017267232851671,0.065,Non significatif,Cantagallo,Bolívar
13188,2002,1.5312400671848776,-0.07685177107403802,0.434,Non significatif,Cicuco,Bolívar
13212,2002,6.825903040325828,2.121129781195275,0.026,Haut-Haut,Córdoba,Bolívar
13222,2002,3.5106041561712544,0.012348540216911633,0.494,Non significatif,Clemencia,Bolívar
13244,2002,5.664984362512729,2.8749207565635784,0.001,Haut-Haut,El Carmen de Bolívar,Bolívar
13248,2002,5.051093899156085,1.3548746903327604,0.009,Haut-Haut,El Guamo,Bolívar
13268,2002,3.754599863200259,0.30854003580447953,0.11,Non significatif,El Peñón,Bolívar
13300,2002,1.818215104096533,0.004401849194924127,0.474,Non significatif,Hatillo de Loba,Bolívar
13430,2002,3.534988117338438,0.055406686244356795,0.408,Non significatif,Magangué,Bolívar
13433,2002,4.22413783422324,0.06636518387709307,0.453,Non significatif,Mahates,Bolívar
13440,2002,1.3934992409645535,-0.04677002231703379,0.47,Non significatif,Margarita,Bolívar
13442,2002,5.178728661128907,0.7960840114567432,0.107,Non significatif,María La Baja,Bolívar
13458,2002,5.891420023757478,1.5150163970967652,0.037,Haut-Haut,Montecristo,Bolívar
13468,2002,2.565910471959839,0.0932209068465848,0.073,Non significatif,Mompós,Bolívar
13473,2002,5.0154279846508585,0.7305145989764805,0.107,Non significatif,Morales,Bolívar
13490,2002,2.850564276666811,0.006611550191080933,0.006,Haut-Haut,Norosí,Bolívar
13549,2002,4.411266015589601,-0.14120617842232297,0.342,Non significatif,Pinillos,Bolívar
13580,2002,4.098707253710678,0.5719462637294266,0.047,Haut-Haut,Regidor,Bolívar
13600,2002,4.9188674739460945,1.0025420005633052,0.038,Haut-Haut,Río Viejo,Bolívar
13620,2002,2.884194876055183,-0.013695382207562548,0.092,Non significatif,San Cristóbal,Bolívar
13647,2002,2.731800149517246,0.012572432248539066,0.305,Non significatif,San Estanislao,Bolívar
13650,2002,0.8977131937671359,0.43359102732277227,0.165,Non significatif,San Fernando,Bolívar
13654,2002,5.654457826793988,2.379991457160904,0.001,Haut-Haut,San Jacinto,Bolívar
13655,2002,4.548676291860804,0.6458848326948955,0.08,Non significatif,San Jacinto del Cauca,Bolívar
13657,2002,5.690657813533675,1.829268330423588,0.006,Haut-Haut,San Juan Nepomuceno,Bolívar
13667,2002,4.646186815162556,0.46552800258683724,0.165,Non significatif,San Martín de Loba,Bolívar
13670,2002,5.358662562215958,1.3445157790591205,0.025,Haut-Haut,San Pablo,Bolívar
13673,2002,2.7814621371713004,-0.0003470500407362861,0.48,Non significatif,Santa Catalina,Bolívar
13683,2002,4.01621372373667,-0.09075054008643287,0.352,Non significatif,Santa Rosa,Bolívar
13688,2002,4.273000429624996,0.9444287596975479,0.006,Haut-Haut,Santa Rosa del Sur,Bolívar
13744,2002,4.6749964259588195,0.8424235685912057,0.045,Haut-Haut,Simití,Bolívar
13760,2002,2.026034313743192,0.008125530001496918,0.458,Non significatif,Soplaviento,Bolívar
13780,2002,2.367398811457827,0.1269983719759224,0.122,Non significatif,Talaigua Nuevo,Bolívar
13810,2002,5.3021361109091325,1.3367974112506567,0.022,Haut-Haut,Tiquisio,Bolívar
13836,2002,1.4620444645890036,0.0152922094448602,0.456,Non significatif,Turbaco,Bolívar
13838,2002,2.0137919584945716,-0.00247181856861897,0.473,Non significatif,Turbaná,Bolívar
13873,2002,3.78224846744066,-0.01655139547365015,0.445,Non significatif,Villanueva,Bolívar
13894,2002,6.146829635140706,2.7762754569844525,0.001,Haut-Haut,Zambrano,Bolívar
15001,2002,0.24643599789213216,1.9000449747251384,0.001,Bas-Bas,Tunja,Boyacá
15022,2002,1.8983835951055716,0.2504648733610556,0.128,Non significatif,Almeida,Boyacá
15047,2002,2.1719325513652317,0.03361946276021106,0.4,Non significatif,Aquitania,Boyacá
15051,2002,0.0,1.9651395074960964,0.002,Bas-Bas,Arcabuco,Boyacá
15087,2002,1.0740686786028986,1.1570252837774193,0.004,Bas-Bas,Belén,Boyacá
15090,2002,3.203179575680475,-0.019597730821975225,0.395,Non significatif,Berbeo,Boyacá
15092,2002,0.0,2.3317127755882834,0.001,Bas-Bas,Betéitiva,Boyacá
15097,2002,2.540064381917548,0.06340323788217382,0.181,Non significatif,Boavita,Boyacá
15104,2002,1.7109860549731706,0.9857284274541207,0.001,Bas-Bas,Boyacá,Boyacá
15106,2002,2.616726665836146,0.11841972746859215,0.011,Bas-Bas,Briceño,Boyacá
15109,2002,1.6270156152809663,0.4995217560620676,0.042,Bas-Bas,Buenavista,Boyacá
15114,2002,0.0,2.522464263293877,0.001,Bas-Bas,Busbanzá,Boyacá
15131,2002,0.8403456855898302,0.754763334850705,0.054,Non significatif,Caldas,Boyacá
15135,2002,4.0783516043392645,0.09745585232084597,0.407,Non significatif,Campohermoso,Boyacá
15162,2002,0.0,2.312693957105807,0.001,Bas-Bas,Cerinza,Boyacá
15172,2002,2.732089640944844,0.08375111462747978,0.001,Bas-Bas,Chinavita,Boyacá
15176,2002,0.3609246535913197,1.424882143921398,0.007,Bas-Bas,Chiquinquirá,Boyacá
15180,2002,4.223981121806603,0.24278338519776926,0.258,Non significatif,Chiscas,Boyacá
15183,2002,3.062679526816872,0.015873866966507028,0.417,Non significatif,Chita,Boyacá
15185,2002,0.9939515628216646,0.4512163770593632,0.15,Non significatif,Chitaraque,Boyacá
15187,2002,0.0,2.3844042786258526,0.001,Bas-Bas,Chivatá,Boyacá
15189,2002,0.0,2.335328794182326,0.001,Bas-Bas,Ciénega,Boyacá
15204,2002,0.0,2.322830910942659,0.001,Bas-Bas,Cómbita,Boyacá
15212,2002,1.8248522271473337,0.2688616948084929,0.13,Non significatif,Coper,Boyacá
15215,2002,0.0,2.522464263293877,0.001,Bas-Bas,Corrales,Boyacá
