modele,variable,coefficient,ecart_type,z,p
M1 effets fixes,"Violence létale, décalée d'un an",0.44707124468368664,0.014782124036519718,30.244046361617762,6.2479446076686704e-201
M1 effets fixes,"Menaces, décalées d'un an",0.510027602450033,0.017433997527087457,29.254770838277086,3.904735382970039e-188
M1 effets fixes,"Combats et engins explosifs, décalés d'un an",0.10473491291046048,0.02474082671232624,4.233282667885954,2.3030473755015857e-05
M2 décalage spatial,"Violence létale, décalée d'un an",0.27406391696574306,0.007132264014335962,38.425935497462,0.0
M2 décalage spatial,"Menaces, décalées d'un an",0.3352712817154442,0.007850525726267913,42.7068572737268,0.0
M2 décalage spatial,"Combats et engins explosifs, décalés d'un an",0.056548842686381884,0.013408012484983963,4.217541022557417,2.469808977669392e-05
M3 erreur spatiale,"Violence létale, décalée d'un an",0.276932487627691,0.008400732412999821,32.96527897962186,2.5555787655999055e-238
M3 erreur spatiale,"Menaces, décalées d'un an",0.33441369163550494,0.009199122645446147,36.35278107755745,2.3748362822298506e-289
M3 erreur spatiale,"Combats et engins explosifs, décalés d'un an",0.07695645333805207,0.014599295423874874,5.271244337737133,1.3550193821336702e-07
